city,state_id,state_name,county_name,population,military,incorporated,timezone,zips,id
Toppenish,WA,Washington,Yakima,14441,FALSE,TRUE,America/Los_Angeles,98948,1840021151
River Road,WA,Washington,Clallam,952,FALSE,FALSE,America/Los_Angeles,98382,1840037861
Geneva,WA,Washington,Whatcom,2632,FALSE,FALSE,America/Los_Angeles,98229,1840017291
Yakima,WA,Washington,Yakima,133233,FALSE,TRUE,America/Los_Angeles,98901 98903 98902 98908 98904 98907,1840021154
Moxee,WA,Washington,Yakima,4032,FALSE,TRUE,America/Los_Angeles,98936 98901,1840037381
Edmonds,WA,Washington,Snohomish,42209,FALSE,TRUE,America/Los_Angeles,98026 98020,1840037645
Kalama,WA,Washington,Cowlitz,3794,FALSE,TRUE,America/Los_Angeles,98625,1840018502
Laurier,WA,Washington,Ferry,0,FALSE,FALSE,America/Los_Angeles,99146,1840026092
Vashon,WA,Washington,King,9635,FALSE,FALSE,America/Los_Angeles,98070 98013,1840018414
Country Homes,WA,Washington,Spokane,5730,FALSE,FALSE,America/Los_Angeles,99208 99218 99251,1840017334
Darrington,WA,Washington,Snohomish,1406,FALSE,TRUE,America/Los_Angeles,98241,1840021081
Metaline Falls,WA,Washington,Pend Oreille,245,FALSE,TRUE,America/Los_Angeles,99153,1840022277
Lyle,WA,Washington,Klickitat,548,FALSE,FALSE,America/Los_Angeles,98635,1840017402
Cascade Valley,WA,Washington,Grant,1797,FALSE,FALSE,America/Los_Angeles,98837,1840037865
Spangle,WA,Washington,Spokane,307,FALSE,TRUE,America/Los_Angeles,99031,1840022290
Methow,WA,Washington,Okanogan,78,FALSE,FALSE,America/Los_Angeles,98834,1840025237
Waterville,WA,Washington,Douglas,1198,FALSE,TRUE,America/Los_Angeles,98858,1840022287
Lake Roesiger,WA,Washington,Snohomish,657,FALSE,FALSE,America/Los_Angeles,98290,1840037853
Milton,WA,Washington,Pierce,8230,FALSE,TRUE,America/Los_Angeles,98003 98354,1840019857
Krupp,WA,Washington,Grant,50,FALSE,TRUE,America/Los_Angeles,98832,1840074934
Alderton,WA,Washington,Pierce,3303,FALSE,FALSE,America/Los_Angeles,98390 98372 98374,1840037523
DuPont,WA,Washington,Pierce,9487,FALSE,TRUE,America/Los_Angeles,98327,1840018457
Edgewood,WA,Washington,Pierce,11213,FALSE,TRUE,America/Los_Angeles,98372 98371,1840019852
North Puyallup,WA,Washington,Pierce,1848,FALSE,FALSE,America/Los_Angeles,98372,1840037690
Pacific Beach,WA,Washington,Grays Harbor,538,FALSE,FALSE,America/Los_Angeles,98571,1840023817
Manson,WA,Washington,Chelan,1532,FALSE,FALSE,America/Los_Angeles,98831,1840025246
Brewster,WA,Washington,Okanogan,2343,FALSE,TRUE,America/Los_Angeles,98812,1840018359
Battle Ground,WA,Washington,Clark,20576,FALSE,TRUE,America/Los_Angeles,98604,1840018523
Shoreline,WA,Washington,King,56189,FALSE,TRUE,America/Los_Angeles,98155 98177 98133 98160,1840021118
Cosmopolis,WA,Washington,Grays Harbor,1624,FALSE,TRUE,America/Los_Angeles,98520 98563 98537,1840018448
Airway Heights,WA,Washington,Spokane,8166,FALSE,TRUE,America/Los_Angeles,99224 99001,1840018399
Grandview,WA,Washington,Yakima,18858,FALSE,TRUE,America/Los_Angeles,98935 98930,1840019871
Inchelium,WA,Washington,Ferry,413,FALSE,FALSE,America/Los_Angeles,99138,1840017307
Grand Coulee,WA,Washington,Grant,1042,FALSE,TRUE,America/Los_Angeles,99133,1840019815
Union,WA,Washington,Mason,272,FALSE,FALSE,America/Los_Angeles,98592,1840025253
Torboy,WA,Washington,Ferry,48,FALSE,FALSE,America/Los_Angeles,99166,1840026090
Kelso,WA,Washington,Cowlitz,12130,FALSE,TRUE,America/Los_Angeles,98626 98632,1840018503
Westport,WA,Washington,Grays Harbor,2051,FALSE,TRUE,America/Los_Angeles,98595,1840021124
Junction City,WA,Washington,Grays Harbor,10,FALSE,FALSE,America/Los_Angeles,98520,1840017362
Lake Ketchum,WA,Washington,Snohomish,894,FALSE,FALSE,America/Los_Angeles,98292,1840037852
West Pasco,WA,Washington,Franklin,1233,FALSE,FALSE,America/Los_Angeles,99301,1840037891
Des Moines,WA,Washington,King,31238,FALSE,TRUE,America/Los_Angeles,98148 98198,1840018426
Davenport,WA,Washington,Lincoln,1708,FALSE,TRUE,America/Los_Angeles,99122,1840018404
Seattle,WA,Washington,King,3643765,FALSE,TRUE,America/Los_Angeles,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194,1840021117
Lake Stickney,WA,Washington,Snohomish,9667,FALSE,FALSE,America/Los_Angeles,98087 98204,1840037894
Carnation,WA,Washington,King,2164,FALSE,TRUE,America/Los_Angeles,98014,1840018421
Everett,WA,Washington,Snohomish,110079,FALSE,TRUE,America/Los_Angeles,98207 98204 98205 98203 98201 98208 98275 98206 98213,1840019785
Warden,WA,Washington,Grant,2716,FALSE,TRUE,America/Los_Angeles,98857,1840021103
Palouse,WA,Washington,Whitman,1055,FALSE,TRUE,America/Los_Angeles,99161,1840019863
Terrace Heights,WA,Washington,Yakima,7849,FALSE,FALSE,America/Los_Angeles,98901,1840018465
Clarkston,WA,Washington,Asotin,7396,FALSE,TRUE,America/Los_Angeles,99403,1840018499
Elmer City,WA,Washington,Okanogan,247,FALSE,TRUE,America/Los_Angeles,99124 99116,1840021058
Mossyrock,WA,Washington,Lewis,789,FALSE,TRUE,America/Los_Angeles,98564,1840019883
Summit View,WA,Washington,Pierce,7421,FALSE,TRUE,America/Los_Angeles,98375 98373,1840042106
Suquamish,WA,Washington,Kitsap,4108,FALSE,FALSE,America/Los_Angeles,98392 98370,1840018411
Newcastle,WA,Washington,King,11681,FALSE,TRUE,America/Los_Angeles,98059 98056,1840019831
Stanwood,WA,Washington,Snohomish,7161,FALSE,TRUE,America/Los_Angeles,98292,1840021079
Kapowsin,WA,Washington,Pierce,391,FALSE,FALSE,America/Los_Angeles,98360 98338 98344,1840023832
Donald,WA,Washington,Yakima,0,FALSE,FALSE,America/Los_Angeles,98951,1840023853
Altoona,WA,Washington,Wahkiakum,61,FALSE,FALSE,America/Los_Angeles,98643,1840023875
South Prairie,WA,Washington,Pierce,443,FALSE,TRUE,America/Los_Angeles,98385,1840022308
Eschbach,WA,Washington,Yakima,377,FALSE,FALSE,America/Los_Angeles,98908,1840017369
